Data;BFX85;DB44;DB44S;DC35A;DC36A;DC36G;DC44;DF44;DF44S;DFN41;DFN43;DFN44;DFX41;DFX43;DFX44;DM84X;DM85X;DM86V;DM86X;DW44S;EB100;EB10C;EB10K;FE19;FE23;FE27;FEI19;FEI19T;FEI23;FEI23T;FEI27;FEI27T;H330;H440;H550;HI330;HI330T;HI440;HI440T;HI550;HI550T;IB44S;IB45;IB45S;IB51;IB51S;IB54;IB54B;IB54S;IB55;IB55S;IB6;IB6B;IB6S;IB7;IB7B;IB7BT;IB7S;IB7ST;IB7T;IF41;IF41B;IF41S;IF43;IF43B;IF43S;IF44;IF44S;IF44S ;IF45;IF45S;IF46;IF46S;IF55;IF55B;IF55S;IF56B;IM7;IM7B;IM7S;IM8;IM8B;IM8IS;IM8S;IQ8IB;IQ8IS;IQ8S;IQ8WS;IT55;IT55S;IT56;IT56S;IT70;IT70B;IT70S;IW43S;IW45S;IW46S;RE120;RE31;RE32;RE32G;RE80;RFE39;TC41;TC41S;TC42;TC42S;TC44;TC44S;TC45;TC45S;TC56;TC56S;TF38;TF38S;TF39;TF39S;TF40;TF40S;TF41;TF41B;TF41S;TF42;TF42S;TF43;TF44;TF44B;TF44S;TF55;TF55S;TF56;TF56S;TF70;TF70S;TF71;TF71B;TF71S;TW42S;Miniload;Unitload
22/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5479;9753
18/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;1485
17/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;780;2;73;2;6;0;0;0;0;0;0;45;0;878;0;0;0;0;1;5;0;0;0;0;0;1;0;0;1286;1;0;1;0;0;0;0;0;0;0;0;1373;0;8;0;0;55;1028;0;0;0;0;419;3;0;0;278;0;197;0;0;0;0;0;0;0;0;1229;0;0;0;0;0;0;0;0;0;0;0;0;0;926;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;516;388;8;0;5915;9234
16/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;552;242;0;0;0;0;0;0;0;1211;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;723;561;0;1;0;0;0;0;0;0;0;0;984;0;474;0;0;1096;2;0;0;0;0;455;0;1;0;431;0;9;0;0;0;0;0;0;0;0;1367;1;0;0;0;0;0;1;0;0;0;0;0;0;797;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;912;3;0;5901;10578
15/04/2026;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;296;538;2;4;0;0;0;52;0;954;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;1244;0;87;0;0;0;0;0;0;0;0;1;0;1421;0;0;1121;2;0;0;0;0;445;0;0;0;446;0;1;0;0;0;0;0;0;0;0;1158;0;0;0;0;0;0;1;0;0;0;0;0;0;930;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;5;2;67;848;0;6049;10566
14/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;672;1;74;6;0;0;0;1202;0;0;0;0;0;0;0;0;1;160;0;0;0;0;0;0;0;0;0;0;0;1208;0;0;0;0;0;0;0;2;0;0;1347;0;0;1173;1;0;0;0;0;453;0;0;0;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;852;1;0;0;5;1;0;0;48;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1295;1;0;0;893;0;5931;10470
13/04/2026;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;809;3;0;0;0;1196;0;0;0;0;0;0;0;0;5;1267;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1391;0;0;1087;1;0;0;0;0;450;0;0;0;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1347;0;0;0;932;0;5566;9276
12/04/2026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536;8601
11/04/2026;0;0;0;132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;747;53;0;0;0;1087;0;0;0;0;0;0;0;0;8;1019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;1094;0;0;977;172;0;0;0;0;404;0;1;0;418;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;1;0;0;0;0;0;0;0;779;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1140;10;3;0;883;0;5120;24
10/04/2026;0;0;0;1472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;2;816;0;0;0;1154;0;0;0;0;0;0;0;0;839;512;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1185;0;0;0;0;448;0;2;0;490;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;291;673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;1178;45;0;902;0;5892;1959
09/04/2026;0;0;0;1484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;71;4;0;0;0;8;0;0;0;379;310;0;0;0;1117;0;0;0;0;0;0;0;0;986;0;0;0;0;0;0;0;119;1;0;0;0;1;0;0;0;0;0;0;0;0;28;0;0;0;0;0;1357;0;0;0;0;294;0;90;0;418;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1292;888;0;1;0;6067;9483
08/04/2026;0;0;0;1289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;439;58;0;0;0;0;0;0;0;0;0;0;0;0;0;839;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;156;318;524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1224;0;0;0;0;1;0;645;0;433;0;545;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584;392;0;1;0;5995;9936
