NC Type;Reason Code;Root Cause;Line;Work Center;Work Center;Equipment;Order #;Product #;Description;Data_Normalizada;Hora_Normalizada;Turno;Obs Turno;Temperatura (°C) Inst.;Temperatura (°C) Máx.;Temperatura (°C) Mín.;Umidade (%) Inst.;Umidade (%) Máx.;Umidade (%) Mín.;Pto. Orvalho (°C) Inst.;Pto. Orvalho (°C) Máx.;Pto. Orvalho (°C) Mín.;Pressão (hPa) Inst.;Pressão (hPa) Máx.;Pressão (hPa) Mín.;Pressão (hPa) Vel. (m/s);Vento Dir. (°);Vento Raj. (m/s);Radiação Kj/m²;Chuva mm
Insp;SAÍDA RETRABALHO ANTES TAMPOGRAFIA L4;DOME - CONSULTA DOME;L4;Internal Components;IC;2L4WC10_509_5410;310160576;920407755;HI330;05/jan/26;1:40 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;SAIDA TABLADO PISO INFERIOR L4;L4;Gas Load and Test;GLT;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;1:55 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Adhoc;VAZAMENTO DE PU;VAZAMENTO DE PU;L2;Foaming Process;FP;;310160583;924263145;IF46;05/jan/26;2:09 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA FUNCIONAL TESTE DELTA T LINHA 4;TERMOPAR DESNONECTADO;L4;Gas Load and Test;GLT;;310160576;920407755;HI330;05/jan/26;2:10 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;IMPUREZA PINTURA;IMPUREZA PINTURA;L2;Freezer Door;FD;;310160583;924263145;IF46;05/jan/26;2:22 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;REPROVADO T. SENSOR;MAL CONECTADO;L5;Gas Load and Test;GLT;;310160572;900277738;IM8S;05/jan/26;2:51 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA CARROSSEL VÁCUO;FALTANDO SOLDA;L5;Gas Load and Test;GLT;2L5WC07_506_4220;310160572;900277738;IM8S;05/jan/26;2:53 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;RISCADO - REPINTURA;RISCADO - REPINTURA;L2;End of Line;EL;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;2:54 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO ENTRADA PERFORMANCE L2;SAÍDA TABLADO ENTRADA PERFORMANCE L2;L2;Gas Load and Test;GLT;1L2WC07_506_4510;310160583;924263145;IF46;05/jan/26;3:03 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA RETRABALHO CURVA L4;ESTRANGULADO;L4;Cabinet Assembly;CA;;310160576;920407755;HI330;05/jan/26;3:04 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SÁIDA RETRABALHO INSPEÇÃO FH / FV L4;RETESTE TEMPERATURA;L4;Gas Load and Test;GLT;2L4WC10_509_5710;310160576;920407755;HI330;05/jan/26;3:05 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;FALHA FUNCIONAL TESTE DELTA T LINHA 4;NÃO GELA;L4;Internal Components;IC;;310160576;920407755;HI330;05/jan/26;3:15 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;VAZAMENTO DE GÁS;VAZAMENTO DE GÁS;L2;Internal Components;IC;;310160583;924263145;IF46;05/jan/26;3:16 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAIDA TABLADO PISO INFERIOR L4;SAIDA TABLADO PISO INFERIOR L4;L4;Gas Load and Test;GLT;2L4WC10_509_5630;310160576;920407755;HI330;05/jan/26;3:17 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Adhoc;RASGADO;RASGADO;L2;Foaming Process;FP;;310160583;924263145;IF46;05/jan/26;3:17 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;SAÍDA TABLADO CARGA DE GÁS L2;FALHA DE LEITURA CARGA DE GÁS (ETIQUETA);L2;Cabinet Assembly;CA;;310160583;924263145;IF46;05/jan/26;3:17 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;GABINETE AMASSADO;GABINETE AMASSADO;L2;Foaming Process;FP;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;3:32 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
Insp;DEFORMADO;DEFORMADO;L2;Inner Liner;IL;1L2WC11_510_8525;310160583;924263145;IF46;05/jan/26;3:32 PM;T1;;15,4;15,6;15,2;84;86;84;12,7;13;12,5;913,1;913,1;912,5;3,2;96;8,1;0;0
